Frame,HEAD_X,HEAD_Y,HEAD_Z,LSHO_X,LSHO_Y,LSHO_Z,RSHO_X,RSHO_Y,RSHO_Z,LELB_X,LELB_Y,LELB_Z,RELB_X,RELB_Y,RELB_Z,LHIP_X,LHIP_Y,LHIP_Z,RHIP_X,RHIP_Y,RHIP_Z,LKNE_X,LKNE_Y,LKNE_Z,RKNE_X,RKNE_Y,RKNE_Z,LANK_X,LANK_Y,LANK_Z,RANK_X,RANK_Y,RANK_Z
0,0.0,0.0,1581.0,-7.694682774887159e-16,221.0,1394.0,7.694682774887159e-16,-221.0,1394.0,-7.694682774887159e-16,306.0,1071.0,7.694682774887159e-16,-306.0,1071.0,0.0,153.0,901.0,-0.0,-153.0,901.0,141.70940586538043,143.0,518.4004125861072,-214.01435052019903,-143.0,553.6358427076601,267.48402472077714,133.0,130.27060794366594,-549.1382085451609,-133.0,320.921425916467
1,3.9941996102881405,2.007234297024298,1589.0882542108334,0.6305448176888229,221.0,1401.638906754676,-0.6305448176888229,-221.0,1401.638906754676,20.420459252791098,306.0,1077.897689386094,-20.420459252791098,-306.0,1077.897689386094,0.21019020478734154,153.0,910.9905662716604,-0.21019020478734154,-153.0,908.9833319746361,124.0625445208914,143.0,522.2430976878017,-210.44818354806662,-143.0,559.3206571650544,212.54529673412657,133.0,123.95325026413059,-555.117815155612,-133.0,340.9932767302613
2,7.827473336744049,3.9941996102881405,1596.8506335069067,1.2544489618084018,221.0,1408.970042756523,-1.2544489618084018,-221.0,1408.970042756523,40.56144920863888,306.0,1085.7288947548948,-40.56144920863888,-306.0,1085.7288947548948,0.4182174019422067,153.0,920.6089148128182,-0.4182174019422067,-153.0,916.61471520253,106.30641781798454,143.0,526.5890054013113,-203.6857209420632,-143.0,562.8544545674963,146.13590365808997,133.0,120.53776225863504,-558.1312999411227,-133.0,360.7843391916163
3,11.34537898253513,5.940831631540699,1603.9743924396337,1.8651636140508672,221.0,1415.6980373040985,-1.8651636140508672,-221.0,1415.6980373040985,60.15319307519331,306.0,1094.1717801857358,-60.15319307519331,-306.0,1094.1717801857358,0.621944090498863,153.0,929.4975185264744,-0.621944090498863,-153.0,923.5566868949337,88.82448753526336,143.0,531.1455242677855,-193.54845043863517,-143.0,564.0523570902669,73.92652133381021,133.0,123.41761180279332,-557.8918602035196,-133.0,380.4280674091426
4,14.406180497758136,7.827473336744049,1610.1725155079603,2.456320472527944,221.0,1421.5518202019625,-2.456320472527944,-221.0,1421.5518202019625,78.94451662672608,306.0,1102.87680298719,-78.94451662672608,-306.0,1102.87680298719,0.8192831926014877,153.0,937.3276427883278,-0.8192831926014877,-153.0,929.5001694515837,71.94220883277357,143.0,535.5745725469386,-179.90699527200258,-143.0,562.9055822272692,8.376293712153007,133.0,132.5567386550896,-553.9248295696598,-133.0,411.5981703028942
5,16.886558510040302,9.635073482034308,1615.1952809828317,3.021814268532136,221.0,1426.295543150452,-3.021814268532136,-221.0,1426.295543150452,96.71027940249323,306.0,1111.4823191315602,-96.71027940249323,-306.0,1111.4823191315602,1.008221825946195,153.0,943.8122933886078,-1.008221825946195,-153.0,934.1772199065734,55.91080871109759,143.0,539.5231568126685,-162.70560393752194,-143.0,559.586834794698,-37.64502657806533,133.0,142.39432924742243,-545.6393342106438,-133.0,443.7322668002726
6,18.68657884913224,11.34537898253513,1618.8403221694928,3.555876652936718,221.0,1429.7380820489655,-3.555876652936718,-221.0,1429.7380820489655,113.25679051235099,306.0,1119.6309181419379,-113.25679051235099,-306.0,1119.6309181419379,1.1868434481031354,153.0,948.717491901815,-1.1868434481031354,-153.0,937.37211291928,40.8974619758182,143.0,542.6546066535491,-141.99167168923506,-143.0,554.4386978926133,-59.12185066639198,133.0,147.10418370019187,-532.494459754848,-133.0,474.1151757653325
7,19.733718884157362,12.941119231388889,1620.9607807404186,4.053139607090712,221.0,1431.740737365951,-4.053139607090712,-221.0,1431.740737365951,128.42488426163646,306.0,1126.985539971074,-128.42488426163646,-306.0,1126.985539971074,1.3533479853242985,153.0,951.8714271050485,-1.3533479853242985,-153.0,938.9303078736596,26.98214773242957,143.0,544.6771680301902,-117.94526097509228,-143.0,547.9439579515856,-61.43265023238543,133.0,146.3722301988335,-514.2182896684612,-133.0,501.16133634390764
8,19.985789452811783,14.406180497758138,1621.4712236419439,4.50868729035681,221.0,1432.2228223285026,-4.50868729035681,-221.0,1432.2228223285026,142.09056652132796,306.0,1133.2444469184181,-142.09056652132796,-306.0,1133.2444469184181,1.5060696737745507,153.0,953.1711165177056,-1.5060696737745507,-153.0,938.7649360199474,14.16065589426595,143.0,545.3674119641689,-90.90203798774064,-143.0,540.6790648197648,-56.35253618895063,133.0,143.5068767753607,-490.97770171544477,-133.0,522.8206632918368
9,19.43263465829348,15.725768642732376,1620.3510851830442,4.91809604052384,221.0,1431.1649137839863,-4.91809604052384,-221.0,1431.1649137839863,154.16337354335917,306.0,1138.1542270638904,-154.16337354335917,-306.0,1138.1542270638904,1.6434924651124931,153.0,952.5863123025265,-1.6434924651124931,-153.0,936.8605436597941,2.352726702114497,143.0,544.5869287407409,-61.362839743789806,-143.0,533.2547959794509,-54.877208469165986,133.0,140.62067455570252,-463.36952114578025,-133.0,536.7970543047077
10,18.09654104932039,16.886558510040302,1617.6454956248738,5.277463021962739,221.0,1428.6096347568252,-5.277463021962739,-221.0,1428.6096347568252,164.58278536132272,306.0,1141.5201768041927,-164.58278536132272,-306.0,1141.5201768041927,1.764262970497386,153.0,950.160496615991,-1.764262970497386,-153.0,933.2739381059507,-8.585870180646303,143.0,542.2917986950133,-29.984605747345327,-143.0,526.2510735718348,-62.09373565733708,133.0,137.81570752011044,-432.1505332772876,-133.0,540.860047234331
11,16.03133969741753,17.876828483025275,1613.4634628872705,5.58342470181779,221.0,1424.659937171311,-5.58342470181779,-221.0,1424.659937171311,173.3131875327635,306.0,1143.213625632621,-173.3131875327635,-306.0,1143.213625632621,1.8672010273404065,153.0,946.0089285607021,-1.8672010273404065,-153.0,928.1321000776768,-18.848467442604967,143.0,538.535173479662,2.4494159874550614,-143.0,520.1549354991337,-77.39267450428586,133.0,134.7572941703579,-397.7475131896758,-133.0,533.2035667651743
12,13.320237348685033,18.686578849132243,1607.973480631087,5.833166869622809,221.0,1419.47495392936,-5.833166869622809,-221.0,1419.47495392936,180.33796784418044,306.0,1143.175999237273,-180.33796784418044,-306.0,1143.175999237273,1.9513080627188324,153.0,940.3138234591074,-1.9513080627188324,-153.0,921.6272446099752,-28.660843821701857,143.0,533.4638558334418,35.07805815266545,-143.0,515.3110794901427,-97.80627017738642,133.0,131.36572102790637,-359.7394165195109,-133.0,512.8483022414018
13,10.072464032715212,19.30763277666548,1601.3967396662483,6.024428258822908,221.0,1413.2635874625678,-6.024428258822908,-221.0,1413.2635874625678,185.65336720533008,306.0,1141.4196406995547,-185.65336720533008,-306.0,1141.4196406995547,2.015773489685008,153.0,933.3168604619419,-2.015773489685008,-153.0,914.0092276852764,-38.26361983832383,143.0,527.3100003313185,67.02288407673072,-143.0,511.892747344782,-120.74996292420693,133.0,127.7352223431202,-316.6055957484781,-133.0,480.10311947194606
14,6.418872196144186,19.733718884157362,1593.998216197192,6.15549995652228,221.0,1406.2760930751258,-6.15549995652228,-221.0,1406.2760930751258,189.26268159721423,306.0,1138.0256016129201,-189.26268159721423,-306.0,1138.0256016129201,2.059979403711959,153.0,925.3093218834031,-2.059979403711959,-153.0,905.5756029992458,-47.8944302644448,143.0,520.3790106510801,97.45178023541727,-143.0,509.89718598168315,-144.88302052756873,133.0,124.07456535835843,-266.01303984440955,-133.0,437.0137357776014
15,2.5066646712860905,19.960534568565432,1586.0759959593543,6.22522269672125,221.0,1398.7939961838347,-6.22522269672125,-221.0,1398.7939961838347,191.17134422711212,306.0,1133.1387596111667,-191.17134422711212,-306.0,1133.1387596111667,2.083503845126689,153.0,916.6202627946765,-2.083503845126689,-153.0,896.659728226111,-57.77054770551116,143.0,513.0344695449962,125.63533467957657,-143.0,509.16534338176155,-169.80585324122637,133.0,120.71815543924959,-205.72099737335625,-133.0,387.5525555811935
16,-1.5065361105586559,19.985789452811787,1577.9492643761187,6.232983837726726,221.0,1391.1187496885566,-6.232983837726726,-221.0,1391.1187496885566,191.38331531197045,306.0,1126.960708397797,-191.38331531197045,-306.0,1126.960708397797,2.0861228614387786,153.0,907.6031884776489,-2.0861228614387786,-153.0,887.6173990248371,-68.07263992647701,143.0,505.6806237912793,150.98744064892318,-143.0,509.4210424133023,-195.53958548964755,133.0,118.10330532592366,-134.8348617405422,-133.0,337.2146936905333
17,-5.459038710346505,19.809228513933025,1569.9454466115483,6.178715358671766,221.0,1383.5595884664624,-6.178715358671766,-221.0,1383.5595884664624,189.89908205359586,306.0,1119.7409012173741,-189.89908205359586,-306.0,1119.7409012173741,2.0678115455466433,153.0,898.6217771586869,-2.0678115455466433,-153.0,878.8125486447539,-78.93038999469302,143.0,498.7426812468766,173.08512982803418,-143.0,510.32177925129537,-222.1870906515303,133.0,116.71975298612779,-54.81798665611123,-133.0,291.88126313703117
18,-9.191597212429748,19.43263465829348,1562.3870156448297,6.062893619305722,221.0,1376.421070331228,-6.062893619305722,-221.0,1376.421070331228,186.7154325887688,306.0,1111.7665161481227,-186.7154325887688,-306.0,1111.7665161481227,2.028744148746057,153.0,890.0352236011797,-2.028744148746057,-153.0,870.6025889428863,-90.4107646948241,143.0,492.645066193174,191.66713189247668,-143.0,511.51219975845925,-249.78112566500369,133.0,117.05874050461188,30.344792176854014,-133.0,256.2662726164527
19,-12.553827225814015,18.85981071785729,1555.5784998677266,5.88654096736718,221.0,1369.9908054306306,-5.88654096736718,-221.0,1369.9908054306306,181.827022258825,306.0,1103.3514643134395,-181.827022258825,-306.0,1103.3514643134395,1.9692932797834626,153.0,882.1837941008471,-1.9692932797834626,-153.0,863.3239833829898,-102.50974620488498,143.0,487.7878885587622,206.61484521973665,-143.0,512.6722228478214,-278.231775450717,133.0,119.5681600844083,115.0155340341424,-133.0,232.63658736315347
20,-15.410264855515788,18.09654104932039,1549.7942136675806,5.651228610203236,221.0,1364.527868463826,-5.651228610203236,-221.0,1364.527868463826,175.22960439821549,306.0,1094.8248960580895,-175.22960439821549,-306.0,1094.8248960580895,1.8900281123124762,153.0,875.3751745997497,-1.8900281123124762,-153.0,857.2786335504293,-115.14829730012065,143.0,484.5222222191217,217.92228505077446,-143.0,513.5541116118673,-307.316002029754,133.0,124.61171492745564,193.38536068813164,-133.0,220.4193813385681
21,-17.645824528699066,17.150533123873043,1545.2672053293843,5.359079553722926,221.0,1360.252360588863,-5.359079553722926,-221.0,1360.252360588863,166.92465678317393,306.0,1086.5194922263945,-166.92465678317393,-306.0,1086.5194922263945,1.7917114425513851,153.0,869.8721613723636,-1.7917114425513851,-153.0,852.7216282484907,-128.17315765036582,143.0,483.12530255944324,225.6626465030015,-143.0,514.005648330837,-336.68737316960124,133.0,132.431957988438,260.839062515492,-133.0,216.80691347397055
22,-19.170435780347518,16.031339697417533,1542.1798675447963,5.012769909985762,221.0,1357.3365415700853,-5.012769909985762,-221.0,1357.3365415700853,156.9250057594542,306.0,1078.759773453157,-156.9250057594542,-306.0,1078.759773453157,1.6752953755123723,153.0,865.8821893429268,-1.6752953755123723,-153.0,849.8508496455094,-141.3627239115089,143.0,483.7773280306874,229.9584239988629,-143.0,513.9791181038489,-365.89956796815454,133.0,143.12030746442701,314.65940272483783,-133.0,217.94311295479253
23,-19.92267218286345,14.75026234716347,1540.6565888297016,4.615526533721488,221.0,1355.8978894502736,-4.615526533721488,-221.0,1355.8978894502736,145.26094158552957,306.0,1071.8506317639624,-145.26094158552957,-306.0,1071.8506317639624,1.5419153792076927,153.0,863.549118762139,-1.5419153792076927,-153.0,848.7988564149755,-154.43774030829897,143.0,486.5420273015049,230.96001751108432,-143.0,513.527546574306,-394.44086638041756,133.0,156.5988511702039,353.9918917081885,-133.0,220.10322173862255
24,-19.872226210400168,13.320237348685033,1540.7587419239396,4.1711188039898435,221.0,1355.9943673726098,-4.1711188039898435,-221.0,1355.9943673726098,131.98624123547626,306.0,1066.0662921740923,-131.98624123547626,-306.0,1066.0662921740923,1.3928824369238084,153.0,862.947609700942,-1.3928824369238084,-153.0,849.6273723522571,-167.07587109768915,143.0,491.3533698606373,228.8350715815774,-143.0,512.7904842469682,-421.7762785306293,133.0,172.61883697551957,379.3497021717053,-133.0,220.46908033423753
25,-19.021130325903073,11.755705045849465,1542.4822110900463,3.6838424398812673,221.0,1357.6220882517105,-3.6838424398812673,-221.0,1357.6220882517105,117.18348019483264,306.0,1061.6399468756713,-117.18348019483264,-306.0,1061.6399468756713,1.2296730505505284,153.0,864.0803092896429,-1.2296730505505284,-153.0,852.3246042437934,-178.9285649856975,143.0,498.010631130314,223.76807431905138,-143.0,511.97182597012505,-447.39259661153955,133.0,190.77934411156184,392.0160300630937,-133.0,217.4120758085371
26,-17.403675093390508,10.072464032715212,1545.7575579358843,3.1584935298570365,221.0,1360.7154713838906,-3.1584935298570365,-221.0,1360.7154713838906,100.96803293528862,306.0,1058.7543631462438,-100.96803293528862,-306.0,1058.7543631462438,1.0539169027051558,153.0,866.877963056229,-1.0539169027051558,-153.0,856.8054990235137,-189.63813203638566,143.0,506.183435136257,215.9675087627361,-143.0,511.3120825853138,-470.8406427145709,133.0,210.56687946272058,393.57660610841924,-133.0,210.40583902945548
27,-15.085027614722069,8.287511619865679,1550.4528190801877,2.6003314446481043,221.0,1365.149884686844,-2.6003314446481043,-221.0,1365.149884686844,83.49023939318903,306.0,1057.5338337620944,-83.49023939318903,-306.0,1057.5338337620944,0.8673820686978408,153.0,871.2024436768081,-0.8673820686978408,-153.0,862.9149320569425,-198.85282116672442,143.0,515.4274580192978,205.67644795910024,-143.0,511.0575088334895,-491.7687541325042,133.0,231.4129228018432,385.65025481423874,-133.0,199.7488733016388
28,-12.158605953892101,6.418872196144186,1556.3788229433685,2.01502995629353,221.0,1370.7466661131814,-2.01502995629353,-221.0,1370.7466661131814,64.93535229122864,306.0,1058.0378962444743,-64.93535229122864,-306.0,1058.0378962444743,0.6719577752146118,153.0,876.8525727018148,-0.6719577752146118,-153.0,870.4337005056707,-206.23803912744356,143.0,525.210349438251,193.18208715652207,-143.0,511.42867371133144,-509.9420781536495,133.0,252.76245225574615,369.779694892291,-133.0,186.24090433130633
29,-8.742315333018668,4.485415218987629,1563.2968114506373,1.4086166472669486,221.0,1377.2803219256018,-1.4086166472669486,-221.0,1377.2803219256018,45.52106978999892,306.0,1060.257274007247,-45.52106978999892,-306.0,1060.257274007247,0.4696348226736923,153.0,883.5724981102018,-0.4696348226736923,-153.0,879.0870828912142,-211.48270249432932,143.0,534.9463276842578,178.82029650501764,-143.0,512.5913523232964,-525.2432321140373,133.0,274.14308757255907,347.41200145916434,-133.0,170.89566564650886
