Frame,HEAD_X,HEAD_Y,HEAD_Z,LSHO_X,LSHO_Y,LSHO_Z,RSHO_X,RSHO_Y,RSHO_Z,LELB_X,LELB_Y,LELB_Z,RELB_X,RELB_Y,RELB_Z,LHIP_X,LHIP_Y,LHIP_Z,RHIP_X,RHIP_Y,RHIP_Z,LKNE_X,LKNE_Y,LKNE_Z,RKNE_X,RKNE_Y,RKNE_Z,LANK_X,LANK_Y,LANK_Z,RANK_X,RANK_Y,RANK_Z
0,0.0,0.0,1700.0,0.0,200.0,1450.0,-0.0,-200.0,1450.0,2.4492935982947064e-14,280.0,1100.0,0.0,-280.0,1100.0,0.0,140.0,950.0,-0.0,-140.0,950.0,0.0,120.0,500.0,3.061616997868383e-14,-120.0,500.0,0.0,110.0,80.0,4.2862637970157365e-14,-110.0,80.00000000000001
1,3.7599970069291277,1.8837155858794012,1705.0133293425722,1.8837155858794012,200.0,1455.0133293425722,-1.8837155858794012,-200.0,1455.0133293425722,-12.55810390586267,280.0,1104.382946092336,12.558103905862675,-280.0,1104.382946092336,1.2558103905862674,140.0,954.7018547998688,-1.2558103905862674,-140.0,952.8181392139894,15.697629882328343,120.0,507.5348623435176,-15.697629882328336,-120.0,500.0,21.97668183525968,110.0,90.03904895986047,-21.976681835259672,-110.0,83.75999700692913
2,7.460696614945644,3.7599970069291277,1709.947595486594,3.7599970069291277,200.0,1459.947595486594,-3.7599970069291277,-200.0,1459.947595486594,-25.06664671286086,280.0,1108.6744973513137,25.06664671286085,-280.0,1108.6744973513137,2.506664671286085,140.0,959.3406951184102,-2.506664671286085,-140.0,955.5806981114811,31.333308391076066,120.0,515.0399880277165,-31.33330839107607,-120.0,500.0,43.86663174750649,110.0,99.99401997137608,-43.8666317475065,-110.0,87.46069661494565
3,11.043736580540337,5.621439437571738,1714.7249821073872,5.621439437571738,200.0,1464.7249821073872,-5.621439437571738,-200.0,1464.7249821073872,-37.476262917144865,280.0,1112.784788196662,37.47626291714492,-280.0,1112.784788196662,3.747626291714492,140.0,963.8544562993262,-3.747626291714492,-140.0,958.2330168617544,46.84532864643115,120.0,522.4857577502869,-46.84532864643108,-120.0,500.0,65.58346010500361,110.0,109.7818680391128,-65.58346010500351,-110.0,91.04373658054033
4,14.45261022305146,7.460696614945644,1719.2701469640685,7.460696614945644,200.0,1469.2701469640685,-7.460696614945644,-200.0,1469.2701469640685,-49.737977432970915,280.0,1116.6269870901401,49.73797743297096,-280.0,1116.6269870901401,4.973797743297096,140.0,968.1829585305243,-4.973797743297096,-140.0,960.7222619155787,62.172471791213695,120.0,529.8427864597826,-62.172471791213646,-120.0,500.0,87.04146050769918,110.0,119.32159893953694,-87.0414605076991,-110.0,94.45261022305145
5,17.633557568774194,9.270509831248422,1723.511410091699,9.270509831248422,200.0,1473.511410091699,-9.270509831248422,-200.0,1473.511410091699,-61.803398874989455,280.0,1120.1187527833754,61.803398874989476,-280.0,1120.1187527833754,6.180339887498948,140.0,972.2688124843984,-6.180339887498948,-140.0,962.9983026531501,77.25424859373685,120.0,537.0820393249937,-77.25424859373682,-120.0,500.0,108.15594803123159,110.0,128.53525700626892,-108.15594803123155,-110.0,97.6335575687742
6,20.53641317786066,11.043736580540337,1727.3818842371475,11.043736580540337,200.0,1477.3818842371475,-11.043736580540337,-200.0,1477.3818842371475,-73.62491053693559,280.0,1123.183618715894,73.62491053693559,-280.0,1123.183618715894,7.362491053693558,140.0,976.0582814681309,-7.362491053693558,-140.0,965.0145448875905,92.03113817116947,120.0,544.1749463221613,-92.03113817116947,-120.0,500.0,128.84359343963726,110.0,137.34886844632845,-128.84359343963726,-110.0,100.53641317786065
7,23.115397283273676,12.773378746952181,1730.8205297110317,12.773378746952181,200.0,1480.8205297110317,-12.773378746952181,-200.0,1480.8205297110317,-85.15585831301453,280.0,1125.7522833918372,85.15585831301455,-280.0,1125.7522833918372,8.515585831301454,140.0,979.5020866567497,-8.515585831301454,-140.0,966.7287079097975,106.44482289126817,120.0,551.0935149878087,-106.44482289126816,-120.0,500.0,149.02275204777544,110.0,145.69332643978095,-149.02275204777544,-110.0,103.11539728327368
8,25.329837765060454,14.45261022305146,1733.7731170200807,14.45261022305146,200.0,1483.7731170200807,-14.45261022305146,-200.0,1483.7731170200807,-96.35073482034299,280.0,1127.7637860520495,96.35073482034306,-280.0,1127.7637860520495,9.635073482034306,140.0,982.5561428765861,-9.635073482034306,-140.0,968.1035326535348,120.43841852542883,120.0,557.8104408922059,-120.43841852542874,-120.0,500.0,168.61378593560036,110.0,153.505205175232,-168.61378593560025,-110.0,105.32983776506045
9,27.144811573980586,16.0748038493699,1736.1930820986408,16.0748038493699,200.0,1486.1930820986408,-16.0748038493699,-200.0,1486.1930820986408,-107.16535899579928,280.0,1129.1665487739313,107.16535899579934,-280.0,1129.1665487739313,10.716535899579933,140.0,985.1822134986655,-10.716535899579933,-140.0,969.1074096492957,133.95669874474916,120.0,564.2992153974797,-133.9566987447491,-120.0,500.0,187.53937824264884,110.0,160.72749107188025,-187.53937824264875,-110.0,107.14481157398058
