Frame,HEAD_X,HEAD_Y,HEAD_Z,LSHO_X,LSHO_Y,LSHO_Z,RSHO_X,RSHO_Y,RSHO_Z,LELB_X,LELB_Y,LELB_Z,RELB_X,RELB_Y,RELB_Z,LHIP_X,LHIP_Y,LHIP_Z,RHIP_X,RHIP_Y,RHIP_Z,LKNE_X,LKNE_Y,LKNE_Z,RKNE_X,RKNE_Y,RKNE_Z,LANK_X,LANK_Y,LANK_Z,RANK_X,RANK_Y,RANK_Z
0,0.0,0.0,1700.0,0.0,200.0,1500.0,2.4492935982947065e-15,-200.0,1500.0,1.8369701987210297e-14,250.0,1200.0,0.0,-250.0,1200.0,0.0,150.0,950.0,0.0,-150.0,950.0,0.0,130.0,500.0,7.347880794884119e-14,-130.0,500.0,0.0,120.0,80.0,7.347880794884119e-14,-120.0,80.00000000000001
1,18.266661678215215,0.0,1703.759997006929,13.255810390586268,200.0,1502.506664671286,10.744189609413732,-200.0,1502.506664671286,2.581422070602999,250.0,1203.759997006929,21.418577929397006,-250.0,1203.759997006929,12.0,150.0,955.0133293425722,12.0,-150.0,944.9866706574278,49.674311717588026,130.0,506.27905195293135,-25.674311717588004,-130.0,500.0,49.674311717588026,120.0,85.02324156234506,-25.674311717588004,-120.0,80.0
2,36.43449435824274,0.0,1707.4606966149456,26.506664671286085,200.0,1504.9737977432972,21.493335328713915,-200.0,1504.9737977432972,5.200014965354356,250.0,1207.4606966149456,42.79998503464564,-250.0,1207.4606966149456,24.0,150.0,959.9475954865942,24.0,-150.0,940.0524045134058,99.19994013858255,130.0,512.5333233564304,-51.199940138582576,-130.0,500.0,99.19994013858255,120.0,90.02665868514434,-51.199940138582576,-120.0,80.0
3,54.4062276342339,0.0,1711.0437365805403,39.74762629171449,200.0,1507.3624910536935,32.25237370828551,-200.0,1507.3624910536935,7.892802812141351,250.0,1211.0437365805403,64.10719718785869,-250.0,1211.0437365805403,36.0,150.0,964.7249821073871,36.0,-150.0,935.2750178926129,148.42878875143475,130.0,518.7381314585724,-76.4287887514346,-130.0,500.0,148.42878875143475,120.0,94.99050516685797,-76.4287887514346,-120.0,80.0
4,72.08768370508577,0.0,1714.4526102230514,52.9737977432971,200.0,1509.6350734820344,43.02620225670291,-200.0,1509.6350734820344,10.696516925271816,250.0,1214.4526102230514,85.30348307472822,-250.0,1214.4526102230514,48.0,150.0,969.2701469640687,48.0,-150.0,930.7298530359315,197.21393229891288,130.0,524.8689887164854,-101.21393229891274,-130.0,500.0,197.21393229891288,120.0,99.89519097318839,-101.21393229891274,-120.0,80.0
5,89.38926261462366,0.0,1717.6335575687742,66.18033988749895,200.0,1511.7557050458495,53.819660112501055,-200.0,1511.7557050458495,13.647450843757909,250.0,1217.6335575687742,106.3525491562421,-250.0,1217.6335575687742,60.0,150.0,973.511410091699,60.0,-150.0,926.488589908301,245.41019662496845,130.0,530.9016994374947,-125.41019662496836,-130.0,500.0,245.41019662496845,120.0,104.7213595499958,-125.41019662496836,-120.0,80.0
6,106.22735529643444,0.0,1720.5364131778606,79.36249105369356,200.0,1513.6909421185737,64.63750894630644,-200.0,1513.6909421185737,16.781317097298313,250.0,1220.5364131778606,127.21868290270169,-250.0,1220.5364131778606,72.0,150.0,977.3818842371476,72.0,-150.0,922.6181157628524,292.87473161080675,130.0,536.8124552684678,-148.87473161080675,-130.0,500.0,292.87473161080675,120.0,109.44996421477424,-148.87473161080675,-120.0,80.0
7,122.52566213878947,0.0,1723.1153972832738,92.51558583130145,200.0,1515.4102648555158,75.48441416869855,-200.0,1515.4102648555158,20.1331062652391,250.0,1223.1153972832738,147.8668937347609,-250.0,1223.1153972832738,84.0,150.0,980.8205297110316,84.0,-150.0,919.1794702889684,339.46757493904363,130.0,542.5779291565073,-171.4675749390436,-130.0,500.0,339.46757493904363,120.0,114.06234332520582,-171.4675749390436,-120.0,80.0
8,138.21639627510075,0.0,1725.3298377650603,105.6350734820343,200.0,1516.8865585100402,86.3649265179657,-200.0,1516.8865585100402,23.736948884742745,250.0,1225.3298377650603,168.2630511152573,-250.0,1225.3298377650603,96.0,150.0,983.7731170200806,96.0,-150.0,916.2268829799194,385.0522044610292,130.0,548.1753674101715,-193.05220446102902,-130.0,500.0,385.0522044610292,120.0,118.54029392813723,-193.05220446102902,-120.0,80.0
9,153.24135262330097,0.0,1727.1448115739806,118.71653589957994,200.0,1518.0965410493204,97.28346410042008,-200.0,1518.0965410493204,27.62598075315053,250.0,1227.1448115739806,188.3740192468495,-250.0,1227.1448115739806,108.0,150.0,986.1930820986408,108.0,-150.0,913.8069179013593,429.496076987398,130.0,553.5826794978997,-213.49607698739788,-130.0,500.0,429.496076987398,120.0,122.86614359831972,-213.49607698739788,-120.0,80.0
10,167.55282581475768,0.0,1728.5316954888547,131.75570504584945,200.0,1519.021130325903,108.24429495415055,-200.0,1519.021130325903,31.832212156129046,250.0,1228.5316954888547,208.16778784387097,-250.0,1228.5316954888547,120.0,150.0,988.0422606518061,120.0,-150.0,911.9577393481939,472.6711513754839,130.0,558.7785252292473,-232.67115137548382,-130.0,500.0,472.6711513754839,120.0,127.02282018339785,-232.67115137548382,-120.0,80.0
11,181.11436253643444,0.0,1729.4686175218606,144.7484797949738,200.0,1519.6457450145738,119.25152020502621,-200.0,1519.6457450145738,36.38640153769656,250.0,1229.4686175218606,227.61359846230346,-250.0,1229.4686175218606,132.0,150.0,989.2914900291476,132.0,-150.0,910.7085099708524,514.4543938492138,130.0,563.7423989748689,-250.45439384921377,-130.0,500.0,514.4543938492138,120.0,130.99391917989516,-250.45439384921377,-120.0,80.0
12,193.9013364214136,0.0,1729.9408018528482,157.6909421185738,200.0,1519.9605345685654,130.3090578814262,-200.0,1519.9605345685654,41.3179341106967,250.0,1229.9408018528482,246.6820658893033,-250.0,1229.9408018528482,144.0,150.0,989.9210691371309,144.0,-150.0,910.0789308628691,554.7282635572132,130.0,568.4547105928689,-266.7282635572132,-130.0,500.0,554.7282635572132,120.0,134.7637684742951,-266.7282635572132,-120.0,80.0
