Frame,HEAD_X,HEAD_Y,HEAD_Z,LSHO_X,LSHO_Y,LSHO_Z,RSHO_X,RSHO_Y,RSHO_Z,LELB_X,LELB_Y,LELB_Z,RELB_X,RELB_Y,RELB_Z,LHIP_X,LHIP_Y,LHIP_Z,RHIP_X,RHIP_Y,RHIP_Z,LKNE_X,LKNE_Y,LKNE_Z,RKNE_X,RKNE_Y,RKNE_Z,LANK_X,LANK_Y,LANK_Z,RANK_X,RANK_Y,RANK_Z
0,0.0,0.0,1581.0,-7.694682774887159e-16,221.0,1394.0,7.694682774887159e-16,-221.0,1394.0,-7.694682774887159e-16,306.0,1071.0,7.694682774887159e-16,-306.0,1071.0,0.0,153.0,901.0,-0.0,-153.0,901.0,141.70940586538043,143.0,518.4004125861072,-214.01435052019903,-143.0,553.6358427076601,267.48402472077714,133.0,130.27060794366594,-549.1382085451609,-133.0,320.921425916467
1,1.2558103905862674,0.6282151815625658,1583.5430160409371,0.19735819635254923,221.0,1396.4017373719962,-0.19735819635254923,-221.0,1396.4017373719962,6.394618193313526,306.0,1073.0373588987156,-6.394618193313526,-306.0,1073.0373588987156,0.06578632907550468,153.0,904.1396809696004,-0.06578632907550468,-153.0,903.5114657880378,136.23141117127025,143.0,519.5321893481621,-213.23104975655778,-143.0,555.6256073978293,251.59643898492845,133.0,128.18207709884405,-551.3157862749291,-133.0,327.23403370627784
2,2.506664671286085,1.2558103905862676,1586.0759959593543,0.39451309806489776,221.0,1398.7939961838347,-0.39451309806489776,-221.0,1398.7939961838347,12.780639698704789,306.0,1075.185570500314,-12.780639698704789,-306.0,1075.185570500314,0.13150647187869802,153.0,907.2679007056868,-0.13150647187869802,-153.0,906.0120903151005,130.71493170451518,143.0,520.7294562341019,-212.14931609953732,-143.0,557.4257331513556,234.5585058507046,133.0,126.16575781704682,-553.2137422175274,-133.0,333.5082098602876
3,3.747626291714492,1.8821662663702865,1588.5889432407218,0.5912616871674673,221.0,1401.1673352829039,-0.5912616871674673,-221.0,1401.1673352829039,19.14949743605334,306.0,1077.436091629206,-19.14949743605334,-306.0,1077.436091629206,0.19709431869070496,153.0,910.3732422895426,-0.19709431869070496,-153.0,908.4910760231725,125.17289796699106,143.0,521.9854869438552,-210.76265906079587,-143.0,559.0255656436238,216.33303731963505,133.0,124.29989631577314,-554.8290452555729,-133.0,339.74874997250333
4,4.973797743297096,2.506664671286085,1591.0719404301767,0.7874014980749064,221.0,1403.5123881840557,-0.7874014980749064,-221.0,1403.5123881840557,25.492683303300655,306.0,1079.7799330657879,-25.492683303300655,-306.0,1079.7799330657879,0.26248391272365157,153.0,913.4443772580614,-0.26248391272365157,-153.0,910.9377125867754,119.61797218555085,143.0,523.2927818247542,-209.06484655103267,-143.0,560.415853986402,196.92969648744958,133.0,122.68462254006471,-556.1571334645354,-133.0,345.96086018780863
5,6.180339887498948,3.1286893008046177,1593.5151882721855,0.9827308913927887,221.0,1405.8199000348418,-0.9827308913927887,-221.0,1405.8199000348418,31.801777074237524,306.0,1082.2076967556886,-31.801777074237524,-306.0,1082.2076967556886,0.32760952614756467,153.0,916.4701093972749,-0.32760952614756467,-153.0,913.3414200964703,114.06247649104166,143.0,524.6431322294466,-207.0499363019161,-143.0,561.5888371458793,176.41949535055073,133.0,121.43648273200245,-557.1917351001678,-133.0,352.1497750434994
6,7.362491053693558,3.7476262917144925,1595.9090443837295,1.1770493248820912,221.0,1408.0807641401889,-1.1770493248820912,-221.0,1408.0807641401889,38.06847459407281,306.0,1084.7096152853226,-38.06847459407281,-306.0,1084.7096152853226,0.3924057355939628,153.0,919.4394180166678,-0.3924057355939628,-153.0,915.6917917249532,108.5183236062185,143.0,526.0276923593929,-204.71231523090538,-143.0,562.5383200107028,154.94683300207018,133.0,120.67797481258208,-557.9247333877254,-133.0,358.3203294716426
7,8.515585831301454,4.362864827930852,1598.2440613083854,1.3701576206674297,221.0,1410.286057902364,-1.3701576206674297,-221.0,1410.286057902364,44.28461505072122,306.0,1087.2755934284871,-44.28461505072122,-306.0,1087.2755934284871,0.45680749696669065,153.0,922.3415005343937,-0.45680749696669065,-153.0,917.9786357064628,102.9969508733378,143.0,527.4370576670675,-202.04674694995475,-143.0,563.2597381109997,132.736609451472,133.0,120.5223826949599,-558.3460872782987,-133.0,364.47648911454394
8,9.635073482034306,4.973797743297096,1600.5110238011196,1.5618582278033883,221.0,1412.4270780343907,-1.5618582278033883,-221.0,1412.4270780343907,50.44220710982247,306.0,1089.8952515504593,-50.44220710982247,-306.0,1089.8952515504593,0.5207502193947705,153.0,925.1658142062257,-0.5207502193947705,-153.0,920.1920164629286,97.5092583643131,143.0,528.8613488165165,-199.04842741525695,-143.0,563.7502100102965,110.09404059924081,133.0,121.05548415037487,-558.4438202575733,-133.0,370.6208450661818
9,10.716535899579933,5.579822120784586,1602.7009851966493,1.7519554793481456,221.0,1414.4953749079466,-1.7519554793481456,-221.0,1414.4953749079466,56.53345371382691,306.0,1092.5579706395122,-56.53345371382691,-306.0,1092.5579706395122,0.5841698381672538,153.0,927.9021168344472,-0.5841698381672538,-153.0,922.3222947136625,92.06555171931566,143.0,530.2903001474735,-195.71304849667936,-143.0,564.0085764255236,87.39549323943106,133.0,122.31702828546247,-558.2040885086125,-133.0,376.75408138984477
